ML,CHIP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT,SIZE,PDI
HSPC,Micromixer,0.0,3.75,0.0,1.25,1.0,3.0,PBS,1,118.0,0.33
HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,50.0,MQ,1,124.0,0.4
HSPC,Micromixer,0.0,12.57,0.0,4.19,0.25,3.0,PBS,1,169.0,0.53
HSPC,Micromixer,0.0,3.0,1.0,1.0,0.25,3.0,MQ,1,73.0,0.24
HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,PBS,1,142.0,0.6
HSPC,Micromixer,0.0,3.75,0.0,1.25,0.25,50.0,MQ,1,136.0,0.43
HSPC,Droplet junction,0.0,10.06,3.35,3.35,0.25,50.0,MQ,1,242.0,0.59
HSPC,Droplet junction,0.0,3.75,0.0,1.25,0.25,3.0,MQ,1,20.0,0.44
HSPC,Micromixer,0.0,12.57,0.0,4.19,1.0,50.0,MQ,0,594.0,0.61
HSPC,Micromixer,0.0,3.0,1.0,1.0,1.0,3.0,PBS,1,139.0,0.49
HSPC,Droplet junction,0.0,3.0,1.0,1.0,1.0,50.0,MQ,1,326.0,0.49
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.0,50.0,PBS,1,277.0,0.73
HSPC,Droplet junction,0.0,3.75,0.0,1.25,1.0,50.0,PBS,1,52.0,0.26
HSPC,Droplet junction,0.0,3.0,1.0,1.0,0.25,50.0,PBS,1,101.0,0.35
HSPC,Droplet junction,0.0,10.06,3.35,3.35,1.0,3.0,PBS,1,77.0,0.23
HSPC,Micromixer,0.0,10.06,3.35,3.35,0.25,50.0,PBS,1,177.0,0.43
HSPC,Droplet junction,0.0,10.06,3.35,3.35,1.0,3.0,MQ,1,255.0,0.78
HSPC,Micromixer,0.0,10.06,3.35,3.35,0.25,3.0,MQ,1,199.0,0.52
HSPC,Micromixer,0.0,12.57,0.0,4.19,1.0,3.0,MQ,1,131.0,0.38
HSPC,Droplet junction,0.0,12.57,0.0,4.19,1.0,50.0,PBS,1,351.0,0.56
HSPC,Droplet junction,0.0,12.57,0.0,4.19,0.25,50.0,MQ,1,136.0,0.37
HSPC,Droplet junction,0.0,3.75,0.0,1.25,1.0,3.0,MQ,1,147.0,0.44
HSPC,Droplet junction,0.0,12.57,0.0,4.19,0.25,3.0,PBS,1,126.0,0.34
HSPC,Droplet junction,0.0,3.0,1.0,1.0,0.25,3.0,PBS,1,102.0,0.38
ESM,Micromixer,5.0,0.0,0.0,0.0,1.0,3.0,PBS,1,117.0,0.08
ESM,Droplet junction,20.0,0.0,0.0,0.0,1.0,50.0,PBS,0,1930.0,0.84
ESM,Droplet junction,5.0,0.0,0.0,0.0,1.0,50.0,PBS,1,133.0,0.19
ESM,Micromixer,20.0,0.0,0.0,0.0,0.25,3.0,PBS,1,91.0,0.1
ESM,Droplet junction,10.0,0.0,10.0,0.0,1.0,3.0,PBS,0,701.0,0.68
ESM,Micromixer,2.5,0.0,2.5,0.0,1.0,3.0,PBS,1,123.0,0.24
ESM,Micromixer,10.0,0.0,10.0,0.0,0.25,50.0,PBS,1,164.0,0.32
ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,50.0,PBS,1,70.0,0.07
ESM,Droplet junction,2.5,0.0,2.5,0.0,0.25,50.0,PBS,0,1794.0,0.94
ESM,Droplet junction,5.0,0.0,0.0,0.0,1.0,3.0,MQ,1,302.0,0.52
ESM,Droplet junction,10.0,0.0,10.0,0.0,1.0,3.0,MQ,0,1242.0,0.83
ESM,Droplet junction,10.0,0.0,10.0,0.0,0.25,50.0,MQ,0,2100.0,1.0
ESM,Micromixer,10.0,0.0,10.0,0.0,0.25,3.0,MQ,0,1787.0,0.99
ESM,Droplet junction,20.0,0.0,0.0,0.0,0.25,50.0,MQ,1,134.0,0.27
ESM,Micromixer,2.5,0.0,2.5,0.0,1.0,50.0,MQ,0,2254.0,1.0
ESM,Droplet junction,2.5,0.0,2.5,0.0,1.0,50.0,MQ,0,731.0,0.99
ESM,Micromixer,5.0,0.0,0.0,0.0,0.25,50.0,MQ,0,571.0,0.56
ESM,Droplet junction,2.5,0.0,2.5,0.0,0.25,3.0,PBS,0,554.0,0.59
ESM,Droplet junction,20.0,0.0,0.0,0.0,0.25,3.0,PBS,1,109.0,0.28
ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,3.0,MQ,0,2337.0,1.0
ESM,Micromixer,2.5,0.0,2.5,0.0,0.25,3.0,MQ,1,108.0,0.11
ESM,Micromixer,10.0,0.0,10.0,0.0,1.0,50.0,PBS,1,117.0,0.13
ESM,Micromixer,20.0,0.0,0.0,0.0,1.0,50.0,MQ,1,71.0,0.12
ESM,Droplet junction,5.0,0.0,0.0,0.0,0.25,3.0,MQ,1,85.0,0.14
HSPC,Micromixer,0.0,11.56,1.34,3.85,0.71,2.0,MQ,1,111.0,0.294
HSPC,Micromixer,0.0,11.56,1.34,3.85,0.71,23.0,MQ,1,105.0,0.372
HSPC,Micromixer,0.0,11.56,1.34,3.85,2.04,2.0,MQ,1,77.0,0.221
HSPC,Micromixer,0.0,11.56,1.34,3.85,2.04,23.0,MQ,1,80.0,0.268
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.71,2.0,MQ,1,93.0,0.188
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.71,23.0,MQ,1,84.0,0.278
HSPC,Micromixer,0.0,8.55,5.36,2.85,2.04,2.0,MQ,1,73.0,0.268
HSPC,Micromixer,0.0,8.55,5.36,2.85,2.04,23.0,MQ,1,74.0,0.309
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,1.0,MQ,1,133.0,0.39
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,50.0,MQ,1,81.0,0.312
HSPC,Micromixer,0.0,10.06,3.35,3.35,0.25,7.0,MQ,1,109.0,0.284
HSPC,Micromixer,0.0,10.06,3.35,3.35,2.5,7.0,MQ,1,78.0,0.291
HSPC,Micromixer,0.0,12.57,0.0,4.19,1.37,7.0,MQ,1,86.0,0.269
HSPC,Micromixer,0.0,7.54,6.7,2.51,1.37,7.0,MQ,1,68.0,0.282
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,70.0,0.234
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,68.0,0.246
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,70.0,0.243
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,68.0,0.235
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,65.0,0.234
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,69.0,0.232
HSPC,Micromixer,0.0,11.56,1.34,3.85,0.71,2.0,MQ,1,88.0,0.327
HSPC,Micromixer,0.0,11.56,1.34,3.85,0.71,23.0,MQ,1,110.0,0.476
HSPC,Micromixer,0.0,11.56,1.34,3.85,2.04,2.0,MQ,1,86.0,0.343
HSPC,Micromixer,0.0,11.56,1.34,3.85,2.04,23.0,MQ,1,94.0,0.355
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.71,2.0,MQ,1,93.0,0.183
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.71,23.0,MQ,1,86.0,0.258
HSPC,Micromixer,0.0,8.55,5.36,2.85,2.04,2.0,MQ,1,63.0,0.198
HSPC,Micromixer,0.0,8.55,5.36,2.85,2.04,23.0,MQ,1,72.0,0.292
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,1.0,MQ,1,140.0,0.387
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,50.0,MQ,1,93.0,0.361
HSPC,Micromixer,0.0,10.06,3.35,3.35,0.25,7.0,MQ,1,124.0,0.316
HSPC,Micromixer,0.0,10.06,3.35,3.35,2.5,7.0,MQ,1,73.0,0.334
HSPC,Micromixer,0.0,12.57,0.0,4.19,1.37,7.0,MQ,1,96.0,0.284
HSPC,Micromixer,0.0,7.54,6.7,2.51,1.37,7.0,MQ,1,67.0,0.273
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,72.0,0.295
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,82.0,0.335
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,78.0,0.326
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,73.0,0.295
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,74.0,0.327
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,76.0,0.354
HSPC,Micromixer,0.0,11.56,1.34,3.85,0.71,2.0,MQ,1,131.0,0.402
HSPC,Micromixer,0.0,11.56,1.34,3.85,0.71,23.0,MQ,1,102.0,0.354
HSPC,Micromixer,0.0,11.56,1.34,3.85,2.04,2.0,MQ,1,93.0,0.262
HSPC,Micromixer,0.0,11.56,1.34,3.85,2.04,23.0,MQ,1,93.0,0.376
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.71,2.0,MQ,1,96.0,0.164
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.71,23.0,MQ,1,78.0,0.242
HSPC,Micromixer,0.0,8.55,5.36,2.85,2.04,2.0,MQ,1,68.0,0.145
HSPC,Micromixer,0.0,8.55,5.36,2.85,2.04,23.0,MQ,1,74.0,0.265
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,1.0,MQ,1,147.0,0.392
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,50.0,MQ,1,95.0,0.38
HSPC,Micromixer,0.0,10.06,3.35,3.35,0.25,7.0,MQ,1,123.0,0.317
HSPC,Micromixer,0.0,10.06,3.35,3.35,2.5,7.0,MQ,1,74.0,0.285
HSPC,Micromixer,0.0,12.57,0.0,4.19,1.37,7.0,MQ,1,86.0,0.333
HSPC,Micromixer,0.0,7.54,6.7,2.51,1.37,7.0,MQ,1,67.0,0.219
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,77.0,0.271
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,77.0,0.276
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,77.0,0.273
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,74.0,0.286
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,76.0,0.288
HSPC,Micromixer,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1,78.0,0.278
HSPC,Micromixer,0.0,7.54,6.7,2.51,1.375,3.5,MQ,1,70.0,0.171
HSPC,Micromixer,0.0,7.54,6.7,2.51,2.5,3.5,MQ,1,58.0,0.196
HSPC,Micromixer,0.0,7.54,6.7,2.51,1.375,1.0,MQ,1,91.0,0.14
HSPC,Micromixer,0.0,7.54,6.7,2.51,2.5,1.0,MQ,1,90.0,0.13
HSPC,Micromixer,0.0,8.55,5.36,2.85,1.375,3.5,MQ,1,72.0,0.202
HSPC,Micromixer,0.0,8.55,5.36,2.85,2.5,3.5,MQ,1,57.0,0.219
HSPC,Micromixer,0.0,8.55,5.36,2.85,1.375,1.0,MQ,1,106.0,0.18
HSPC,Micromixer,0.0,8.55,5.36,2.85,2.5,1.0,MQ,1,109.0,0.217
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.25,1.0,MQ,1,104.0,0.126
HSPC,Micromixer,0.0,8.55,5.36,2.85,0.25,3.5,MQ,1,120.0,0.164
ESM,Micromixer,17.97,0.0,2.03,0.0,0.706,1.8,MQ,0,14748.0,0.726
ESM,Micromixer,12.03,0.0,7.97,0.0,0.706,1.8,MQ,1,132.0,0.052
ESM,Micromixer,17.97,0.0,2.03,0.0,2.044,1.8,MQ,0,4942.0,1.0
