ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT
01SD,HSPC,Micromixer,5.0,0.0,3.75,0.0,1.25,1.0,3.0,PBS,1
02SD,HSPC,Micromixer,5.0,0.0,3.0,1.0,1.0,1.0,50.0,MQ,1
03SD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,0.25,3.0,PBS,1
04SD,HSPC,Micromixer,5.0,0.0,3.0,1.0,1.0,0.25,3.0,MQ,1
05SD,HSPC,Micromixer,5.0,0.0,3.75,0.0,1.25,0.25,50.0,PBS,1
06SD,HSPC,Micromixer,5.0,0.0,3.75,0.0,1.25,0.25,50.0,MQ,1
07SD,HSPC,Droplet junction,16.76,0.0,10.06,3.35,3.35,0.25,50.0,MQ,1
08SD,HSPC,Droplet junction,5.0,0.0,3.75,0.0,1.25,0.25,3.0,MQ,1
09SD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.0,50.0,MQ,0
10SD,HSPC,Micromixer,5.0,0.0,3.0,1.0,1.0,1.0,3.0,PBS,1
11SD,HSPC,Droplet junction,5.0,0.0,3.0,1.0,1.0,1.0,50.0,MQ,1
12SD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.0,50.0,PBS,1
13SD,HSPC,Droplet junction,5.0,0.0,3.75,0.0,1.25,1.0,50.0,PBS,1
14SD,HSPC,Droplet junction,5.0,0.0,3.0,1.0,1.0,0.25,50.0,PBS,1
15SD,HSPC,Droplet junction,16.76,0.0,10.06,3.35,3.35,1.0,3.0,PBS,1
16SD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,50.0,PBS,1
17SD,HSPC,Droplet junction,16.76,0.0,10.06,3.35,3.35,1.0,3.0,MQ,1
18SD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,3.0,MQ,1
19SD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.0,3.0,MQ,1
20SD,HSPC,Droplet junction,16.76,0.0,12.57,0.0,4.19,1.0,50.0,PBS,1
21SD,HSPC,Droplet junction,16.76,0.0,12.57,0.0,4.19,0.25,50.0,MQ,1
22SD,HSPC,Droplet junction,5.0,0.0,3.75,0.0,1.25,1.0,3.0,MQ,1
23SD,HSPC,Droplet junction,16.76,0.0,12.57,0.0,4.19,0.25,3.0,PBS,1
24SD,HSPC,Droplet junction,5.0,0.0,3.0,1.0,1.0,0.25,3.0,PBS,1
01SM,ESM,Micromixer,5.0,5.0,0.0,0.0,0.0,1.0,3.0,PBS,1
02SM,ESM,Droplet junction,20.0,20.0,0.0,0.0,0.0,1.0,50.0,PBS,0
03SM,ESM,Droplet junction,5.0,5.0,0.0,0.0,0.0,1.0,50.0,PBS,1
04SM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,0.25,3.0,PBS,1
05SM,ESM,Droplet junction,20.0,10.0,0.0,10.0,0.0,1.0,3.0,PBS,0
06SM,ESM,Micromixer,5.0,2.5,0.0,2.5,0.0,1.0,3.0,PBS,1
07SM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,0.25,50.0,PBS,1
08SM,ESM,Micromixer,5.0,5.0,0.0,0.0,0.0,0.25,50.0,PBS,1
09SM,ESM,Droplet junction,5.0,2.5,0.0,2.5,0.0,0.25,50.0,PBS,0
10SM,ESM,Droplet junction,5.0,5.0,0.0,0.0,0.0,1.0,3.0,MQ,1
11SM,ESM,Droplet junction,20.0,10.0,0.0,10.0,0.0,1.0,3.0,MQ,0
12SM,ESM,Droplet junction,20.0,10.0,0.0,10.0,0.0,0.25,50.0,MQ,0
12SM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,0.25,3.0,MQ,0
14SM,ESM,Droplet junction,20.0,20.0,0.0,0.0,0.0,0.25,50.0,MQ,1
16SM,ESM,Micromixer,5.0,2.5,0.0,2.5,0.0,1.0,50.0,MQ,0
16SM,ESM,Droplet junction,5.0,2.5,0.0,2.5,0.0,1.0,50.0,MQ,0
17SM,ESM,Micromixer,5.0,5.0,0.0,0.0,0.0,0.25,50.0,MQ,0
18SM,ESM,Droplet junction,5.0,2.5,0.0,2.5,0.0,0.25,3.0,PBS,0
19SM,ESM,Droplet junction,20.0,20.0,0.0,0.0,0.0,0.25,3.0,PBS,1
20SM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,1.0,3.0,MQ,0
21SM,ESM,Micromixer,5.0,2.5,0.0,2.5,0.0,0.25,3.0,MQ,1
22SM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,1.0,50.0,PBS,1
23SM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,1.0,50.0,MQ,1
24SM,ESM,Droplet junction,5.0,5.0,0.0,0.0,0.0,0.25,3.0,MQ,1
01CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,2.0,MQ,1
02CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,23.0,MQ,1
03CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,2.0,MQ,1
04CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,23.0,MQ,1
05CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,2.0,MQ,1
06CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,23.0,MQ,1
07CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,2.0,MQ,1
08CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,23.0,MQ,1
09CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,1.0,MQ,1
10CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,50.0,MQ,1
11CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,7.0,MQ,1
12CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,2.5,7.0,MQ,1
13CD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.37,7.0,MQ,1
14CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.37,7.0,MQ,1
15CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
16CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
17CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
18CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
19CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
20CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
21CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,2.0,MQ,1
22CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,23.0,MQ,1
23CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,2.0,MQ,1
24CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,23.0,MQ,1
25CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,2.0,MQ,1
26CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,23.0,MQ,1
27CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,2.0,MQ,1
28CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,23.0,MQ,1
29CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,1.0,MQ,1
30CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,50.0,MQ,1
31CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,7.0,MQ,1
32CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,2.5,7.0,MQ,1
33CD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.37,7.0,MQ,1
34CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.37,7.0,MQ,1
35CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
36CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
37CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
38CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
39CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
40CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
41CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,2.0,MQ,1
42CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,23.0,MQ,1
43CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,2.0,MQ,1
44CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,23.0,MQ,1
45CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,2.0,MQ,1
46CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,23.0,MQ,1
47CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,2.0,MQ,1
48CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,23.0,MQ,1
49CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,1.0,MQ,1
50CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,50.0,MQ,1
51CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,7.0,MQ,1
52CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,2.5,7.0,MQ,1
53CD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.37,7.0,MQ,1
54CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.37,7.0,MQ,1
55CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
56CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
57CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
58CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
59CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
60CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ,1
61CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.375,3.5,MQ,1
62CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,2.5,3.5,MQ,1
63CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.375,1.0,MQ,1
64CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,2.5,1.0,MQ,1
65CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,1.375,3.5,MQ,1
66CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.5,3.5,MQ,1
67CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,1.375,1.0,MQ,1
68CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.5,1.0,MQ,1
69CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.25,1.0,MQ,1
