ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,FR-O,FR-W,BUFFER,OUTPUT,SIZE,PDI
01SD,HSPC,Micromixer,5,0,3.75,0,1.25,1,3,0.25,0.75,PBS ,YES,118,0.33
02SD,HSPC,Micromixer,5,0,3,1,1,1,50,0.02,0.98,MQ,YES,124,0.4
03SD,HSPC,Micromixer,16.76,0,12.57,0,4.19,0.25,3,0.063,0.188,PBS,YES,169,0.53
04SD,HSPC,Micromixer,5,0,3,1,1,0.25,3,0.063,0.188,MQ,YES,73,0.24
05SD,HSPC,Micromixer,5,0,3.75,0,1.25,0.25,50,0.005,0.245,PBS,YES,142,0.6
06SD,HSPC,Micromixer,5,0,3.75,0,1.25,0.25,50,0.005,0.245,MQ,YES,136,0.43
07SD,HSPC,Droplet junction,16.76,0,10.06,3.35,3.35,0.25,50,0.005,0.245,MQ,YES,242,0.59
08SD,HSPC,Droplet junction,5,0,3.75,0,1.25,0.25,3,0.063,0.188,MQ,YES,20,0.44
09SD,HSPC,Micromixer,16.76,0,12.57,0,4.19,1,50,0.02,0.98,MQ,NO,594,0.61
10SD,HSPC,Micromixer,5,0,3,1,1,1,3,0.25,0.75,PBS,YES,139,0.49
11SD,HSPC,Droplet junction,5,0,3,1,1,1,50,0.02,0.98,MQ,YES,326,0.49
12SD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,1,50,0.02,0.98,PBS,YES,277,0.73
13SD,HSPC,Droplet junction,5,0,3.75,0,1.25,1,50,0.02,0.98,PBS,YES,52,0.26
14SD,HSPC,Droplet junction,5,0,3,1,1,0.25,50,0.005,0.245,PBS,YES,101,0.35
15SD,HSPC,Droplet junction,16.76,0,10.06,3.35,3.35,1,3,0.25,0.75,PBS,YES,77,0.23
16SD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,0.25,50,0.005,0.245,PBS,YES,177,0.43
17SD,HSPC,Droplet junction,16.76,0,10.06,3.35,3.35,1,3,0.25,0.75,MQ,YES,255,0.78
18SD,HSPC,Micromixer,16.76,0,10.06,3.35,3.35,0.25,3,0.063,0.188,MQ,YES,199,0.52
19SD,HSPC,Micromixer,16.76,0,12.57,0,4.19,1,3,0.25,0.75,MQ,YES,131,0.38
20SD,HSPC,Droplet junction,16.76,0,12.57,0,4.19,1,50,0.02,0.98,PBS,YES,351,0.56
21SD,HSPC,Droplet junction,16.76,0,12.57,0,4.19,0.25,50,0.005,0.245,MQ,YES,136,0.37
22SD,HSPC,Droplet junction,5,0,3.75,0,1.25,1,3,0.25,0.75,MQ,YES,147,0.44
23SD,HSPC,Droplet junction,16.76,0,12.57,0,4.19,0.25,3,0.063,0.188,PBS,YES,126,0.34
24SD,HSPC,Droplet junction,5,0,3,1,1,0.25,3,0.063,0.188,PBS,YES,102,0.38
01SM,ESM,Micromixer,5,5,0,0,0,1,3,0.25,0.75,PBS,YES,117,0.08
02SM,ESM,Droplet junction,20,20,0,0,0,1,50,0.02,0.98,PBS,NO,1930,0.84
03SM,ESM,Droplet junction,5,5,0,0,0,1,50,0.02,0.98,PBS,YES,133,0.19
04SM,ESM,Micromixer,20,20,0,0,0,0.25,3,0.063,0.188,PBS,YES,91,0.1
05SM,ESM,Droplet junction,20,10,0,10,0,1,3,0.25,0.75,PBS,NO,701,0.68
06SM,ESM,Micromixer,5,2.5,0,2.5,0,1,3,0.25,0.75,PBS,YES,123,0.24
07SM,ESM,Micromixer,20,10,0,10,0,0.25,50,0.005,0.245,PBS,YES,164,0.32
