ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER
01SD,HSPC,Micromixer,5.0,0.0,3.75,0.0,1.25,1.0,3.0,PBS
02SD,HSPC,Micromixer,5.0,0.0,3.0,1.0,1.0,1.0,50.0,MQ
03SD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,0.25,3.0,PBS
04SD,HSPC,Micromixer,5.0,0.0,3.0,1.0,1.0,0.25,3.0,MQ
05SD,HSPC,Micromixer,5.0,0.0,3.75,0.0,1.25,0.25,50.0,PBS
06SD,HSPC,Micromixer,5.0,0.0,3.75,0.0,1.25,0.25,50.0,MQ
07SD,HSPC,Droplet junction,16.76,0.0,10.06,3.35,3.35,0.25,50.0,MQ
08SD,HSPC,Droplet junction,5.0,0.0,3.75,0.0,1.25,0.25,3.0,MQ
09SD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.0,50.0,MQ
10SD,HSPC,Micromixer,5.0,0.0,3.0,1.0,1.0,1.0,3.0,PBS
11SD,HSPC,Droplet junction,5.0,0.0,3.0,1.0,1.0,1.0,50.0,MQ
12SD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.0,50.0,PBS
13SD,HSPC,Droplet junction,5.0,0.0,3.75,0.0,1.25,1.0,50.0,PBS
14SD,HSPC,Droplet junction,5.0,0.0,3.0,1.0,1.0,0.25,50.0,PBS
15SD,HSPC,Droplet junction,16.76,0.0,10.06,3.35,3.35,1.0,3.0,PBS
16SD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,50.0,PBS
17SD,HSPC,Droplet junction,16.76,0.0,10.06,3.35,3.35,1.0,3.0,MQ
18SD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,3.0,MQ
19SD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.0,3.0,MQ
20SD,HSPC,Droplet junction,16.76,0.0,12.57,0.0,4.19,1.0,50.0,PBS
21SD,HSPC,Droplet junction,16.76,0.0,12.57,0.0,4.19,0.25,50.0,MQ
22SD,HSPC,Droplet junction,5.0,0.0,3.75,0.0,1.25,1.0,3.0,MQ
23SD,HSPC,Droplet junction,16.76,0.0,12.57,0.0,4.19,0.25,3.0,PBS
24SD,HSPC,Droplet junction,5.0,0.0,3.0,1.0,1.0,0.25,3.0,PBS
01SM,ESM,Micromixer,5.0,5.0,0.0,0.0,0.0,1.0,3.0,PBS
02SM,ESM,Droplet junction,20.0,20.0,0.0,0.0,0.0,1.0,50.0,PBS
03SM,ESM,Droplet junction,5.0,5.0,0.0,0.0,0.0,1.0,50.0,PBS
04SM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,0.25,3.0,PBS
05SM,ESM,Droplet junction,20.0,10.0,0.0,10.0,0.0,1.0,3.0,PBS
06SM,ESM,Micromixer,5.0,2.5,0.0,2.5,0.0,1.0,3.0,PBS
07SM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,0.25,50.0,PBS
08SM,ESM,Micromixer,5.0,5.0,0.0,0.0,0.0,0.25,50.0,PBS
09SM,ESM,Droplet junction,5.0,2.5,0.0,2.5,0.0,0.25,50.0,PBS
10SM,ESM,Droplet junction,5.0,5.0,0.0,0.0,0.0,1.0,3.0,MQ
11SM,ESM,Droplet junction,20.0,10.0,0.0,10.0,0.0,1.0,3.0,MQ
12SM,ESM,Droplet junction,20.0,10.0,0.0,10.0,0.0,0.25,50.0,MQ
12SM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,0.25,3.0,MQ
14SM,ESM,Droplet junction,20.0,20.0,0.0,0.0,0.0,0.25,50.0,MQ
16SM,ESM,Micromixer,5.0,2.5,0.0,2.5,0.0,1.0,50.0,MQ
16SM,ESM,Droplet junction,5.0,2.5,0.0,2.5,0.0,1.0,50.0,MQ
17SM,ESM,Micromixer,5.0,5.0,0.0,0.0,0.0,0.25,50.0,MQ
18SM,ESM,Droplet junction,5.0,2.5,0.0,2.5,0.0,0.25,3.0,PBS
19SM,ESM,Droplet junction,20.0,20.0,0.0,0.0,0.0,0.25,3.0,PBS
20SM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,1.0,3.0,MQ
21SM,ESM,Micromixer,5.0,2.5,0.0,2.5,0.0,0.25,3.0,MQ
22SM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,1.0,50.0,PBS
23SM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,1.0,50.0,MQ
24SM,ESM,Droplet junction,5.0,5.0,0.0,0.0,0.0,0.25,3.0,MQ
01CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,2.0,MQ
02CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,23.0,MQ
03CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,2.0,MQ
04CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,23.0,MQ
05CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,2.0,MQ
06CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,23.0,MQ
07CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,2.0,MQ
08CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,23.0,MQ
09CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,1.0,MQ
10CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,50.0,MQ
11CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,7.0,MQ
12CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,2.5,7.0,MQ
13CD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.37,7.0,MQ
14CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.37,7.0,MQ
15CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
16CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
17CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
18CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
19CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
20CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
21CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,2.0,MQ
22CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,0.71,23.0,MQ
23CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,2.0,MQ
24CD,HSPC,Micromixer,16.76,0.0,11.56,1.34,3.85,2.04,23.0,MQ
25CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,2.0,MQ
26CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,0.71,23.0,MQ
27CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,2.0,MQ
28CD,HSPC,Micromixer,16.76,0.0,8.55,5.36,2.85,2.04,23.0,MQ
29CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,1.0,MQ
30CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,50.0,MQ
31CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,0.25,7.0,MQ
32CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,2.5,7.0,MQ
33CD,HSPC,Micromixer,16.76,0.0,12.57,0.0,4.19,1.37,7.0,MQ
34CD,HSPC,Micromixer,16.76,0.0,7.54,6.7,2.51,1.37,7.0,MQ
35CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
36CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
37CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
38CD,HSPC,Micromixer,16.76,0.0,10.06,3.35,3.35,1.37,7.0,MQ
